url,type,url_len,dot_count,at_count,hyphen_count,undersc_count,slash_count,doubleslash_count,backslash_count,quemark_count,asterisk_count,ampersand_count,equalto_count,percent_count,numeric_count,letter_count,num_to_alpha,domain,port,domain_length,is_https,has_digit,HTTPSDomainURL,tld,subd_count,tld_exists,is_shortened,ip_type,path_depth,dot>3,redirecting//,prefsuff,nonStdPort,domain_entropy,DomainAgeDays,DomainRegLength
http://antalya.ru/links/,phishing,24,1,0,0,0,4,1,0,0,0,0,0,0,0,18,0.0,antalya.ru,,10.0,1,0,-1,ru,0,1,0,-1,2,0,-1,-1,1,2.8464393446710154,9525.0,9883.0
https://www.youtube.com/watch?v=1cJPAckFotc,legitimate,43,2,0,0,0,3,1,0,1,0,0,1,0,1,34,0.02857142857142857,youtube.com,,11.0,-1,0,-1,com,1,1,0,-1,1,0,-1,-1,1,3.095795255000934,7722.0,8035.0
https://www.rottentomatoes.com/m/man_who_wasnt_there/,legitimate,53,2,0,0,3,5,1,0,0,0,0,0,0,0,42,0.0,rottentomatoes.com,,18.0,-1,0,-1,com,1,1,0,-1,3,0,-1,-1,1,3.0588138903312014,9826.0,10227.0
https://www.montecarloss.com/Toy.html,legitimate,37,3,0,0,0,3,1,0,0,0,0,0,0,0,30,0.0,montecarloss.com,,16.0,-1,0,-1,com,1,1,0,-1,1,0,-1,-1,1,3.327819531114783,9770.0,10227.0
http://23.227.196.217/,phishing,22,3,0,0,0,3,1,0,0,0,0,0,0,11,4,2.2,23.227.196.217,,14.0,1,1,-1,,0,0,0,1,1,0,-1,-1,1,2.610577243331642,,
http://sandoutalent.com/docss/up/,phishing,33,1,0,0,0,5,1,0,0,0,0,0,0,0,26,0.0,sandoutalent.com,,16.0,1,0,-1,com,0,1,1,-1,3,0,-1,-1,1,3.5,6159.0,7305.0
http://alanstrack.com/system/data/a0e390d7d5c2131dabb7a8b1dbe42520/,phishing,67,1,0,0,0,6,1,0,0,0,0,0,0,18,41,0.42857142857142855,alanstrack.com,,14.0,1,0,-1,com,0,1,0,-1,4,0,-1,-1,1,3.3248629576173565,6176.0,7305.0
https://www.youtube.com/watch?v=baeT3g7udho,legitimate,43,2,0,0,0,3,1,0,1,0,0,1,0,2,33,0.058823529411764705,youtube.com,,11.0,-1,0,-1,com,1,1,0,-1,1,0,-1,-1,1,3.095795255000934,7722.0,8035.0
https://securityceckpoins.000webhostapp.com/bayar/set.html,phishing,58,3,0,0,0,4,1,0,0,0,0,0,0,3,47,0.0625,securityceckpoins.000webhostapp.com,,35.0,-1,1,-1,com,1,1,0,-1,2,0,-1,-1,1,4.050013373778756,3619.0,4748.0
https://www.mag.damnserver.com/topless/Juliet-Anderson.html,legitimate,59,4,0,1,0,4,1,0,0,0,0,0,0,0,49,0.0,mag.damnserver.com,,18.0,-1,0,-1,com,2,1,0,-1,2,1,-1,-1,1,3.4613201402110083,,
https://www.sports.yahoo.com/nhl/teams/san/stats,legitimate,48,3,0,0,0,6,1,0,0,0,0,0,0,0,38,0.0,sports.yahoo.com,,16.0,-1,0,-1,com,2,1,0,-1,4,0,-1,-1,1,3.25,11403.0,11689.0
https://www.andysautosport.com/mercury/1962_1963_meteor/,legitimate,56,2,0,0,2,5,1,0,0,0,0,0,0,8,38,0.20512820512820512,andysautosport.com,,18.0,-1,0,-1,com,1,1,1,-1,3,0,-1,-1,1,3.5724312513221195,10511.0,10591.0
http://www.indodefense.com/wp-content/dropbox/,phishing,46,2,0,1,0,5,1,0,0,0,0,0,0,0,37,0.0,indodefense.com,,15.0,1,0,-1,com,1,1,0,-1,3,0,-1,-1,1,3.1898980954642875,,
http://privatteodontologia.com.br/sender/Goldencat/Goldencat/auth/view/document/,phishing,80,2,0,0,0,9,1,0,0,0,0,0,0,0,68,0.0,privatteodontologia.com.br,,26.0,1,0,-1,com.br,0,1,0,-1,7,0,-1,-1,1,3.7633424882718507,4452.0,4748.0
http://yepgppcoouhbfyu.org/php/upload.php,phishing,41,2,0,0,0,4,1,0,0,0,0,0,0,0,34,0.0,yepgppcoouhbfyu.org,,19.0,1,0,-1,org,0,1,0,-1,2,0,-1,-1,1,3.431623565847431,,
https://www.etrade.com,legitimate,22,2,0,0,0,2,1,0,0,0,0,0,0,0,17,0.0,etrade.com,,10.0,-1,0,-1,com,1,1,0,-1,0,0,-1,-1,1,3.1219280948873624,,
https://rbx-free-robux.000webhostapp.com/,phishing,41,2,0,2,0,3,1,0,0,0,0,0,0,3,30,0.0967741935483871,rbx-free-robux.000webhostapp.com,,32.0,-1,1,-1,com,1,1,0,-1,1,0,-1,1,1,4.007048827786958,3619.0,4748.0
http://pingakshotechnologies.com/vicaaralife/london/hts-cache/microsoftupdate.html,phishing,82,2,0,1,0,6,1,0,0,0,0,0,0,0,72,0.0,pingakshotechnologies.com,,25.0,1,0,-1,com,0,1,0,-1,4,0,-1,-1,1,3.7638561897747245,4841.0,5478.0
https://www.harryhills.com/,legitimate,27,2,0,0,0,3,1,0,0,0,0,0,0,0,21,0.0,harryhills.com,,14.0,-1,0,-1,com,1,1,0,-1,1,0,-1,-1,1,3.3787834934861753,189.0,365.0
https://www.tourism.bestmontreal.com/,legitimate,37,3,0,0,0,3,1,0,0,0,0,0,0,0,30,0.0,tourism.bestmontreal.com,,24.0,-1,0,-1,com,2,1,0,-1,1,0,-1,-1,1,3.6572682296173893,7629.0,7670.0
https://www.i-divorceattorney.com/,legitimate,34,2,0,1,0,3,1,0,0,0,0,0,0,0,27,0.0,i-divorceattorney.com,,21.0,-1,0,-1,com,1,1,0,-1,1,0,-1,1,1,3.6897037321995474,,
https://www.sbnation.com/nfl/2011/9/6/2407538/minnesota-vikings-2011-season-preview-donovan-mcnabb,legitimate,98,2,0,6,0,8,1,0,0,0,0,0,0,17,64,0.26153846153846155,sbnation.com,,12.0,-1,0,-1,com,1,1,0,-1,6,0,-1,-1,1,3.2516291673878226,7678.0,8034.0
http://94.102.63.238/apple2/,phishing,28,3,0,0,0,4,1,0,0,0,0,0,0,11,9,1.1,94.102.63.238,,13.0,1,1,-1,,0,0,0,1,2,0,-1,-1,1,3.0269868333592873,700.0,730.0
http://85.93.177.135:443,phishing,24,3,0,0,0,2,1,0,0,0,0,0,0,13,4,2.6,85.93.177.135,443.0,13.0,1,1,-1,,0,0,0,1,0,0,-1,-1,-1,2.7192945256669794,7800.0,8035.0
https://www.summer-auto.bestgetaways.ca/en_destination-salaberry-de-valleyfield/day_trips,legitimate,89,3,0,4,2,4,1,0,0,0,0,0,0,0,75,0.0,summer-auto.bestgetaways.ca,,27.0,-1,0,-1,ca,2,1,0,-1,2,0,-1,1,1,3.7080481500712312,,
https://sites.google.com/site/confirmapps001/,phishing,45,2,0,0,0,5,1,0,0,0,0,0,0,3,34,0.08571428571428572,sites.google.com,,16.0,-1,0,-1,com,1,1,0,-1,3,0,-1,-1,1,3.202819531114783,10432.0,11322.0
http://ascendpilotproducts.com/wp-includes/pomo/spo/Access.html,phishing,63,2,0,1,0,6,1,0,0,0,0,0,0,0,53,0.0,ascendpilotproducts.com,,23.0,1,0,-1,com,0,1,0,-1,4,0,-1,-1,1,3.762267390651494,,
http://www.explode-vt.de/media/system/js/docs/44d5fc589e3bebf082b7dda946a5f5b4/,phishing,79,2,0,1,0,8,1,0,0,0,0,0,0,17,50,0.3333333333333333,explode-vt.de,,13.0,1,0,-1,de,1,1,0,-1,6,0,-1,1,1,3.180832987205441,,
http://mixiepix.com/.cache/gatorx.php,phishing,37,3,0,0,0,4,1,0,0,0,0,0,0,0,29,0.0,mixiepix.com,,12.0,1,0,-1,com,0,1,0,-1,2,0,-1,-1,1,2.8553885422075336,1767.0,1826.0
https://www.sharetv.org/movies/talk_to_me_2007,legitimate,46,2,0,0,3,4,1,0,0,0,0,0,0,4,32,0.12121212121212122,sharetv.org,,11.0,-1,0,-1,org,1,1,0,-1,2,0,-1,-1,1,3.2776134368191157,7033.0,7305.0
https://www.ortegobirds.com/articles/banding/the-texas-bird-banding-team-activities-for-2005/,legitimate,93,2,0,7,0,6,1,0,0,0,0,0,0,4,73,0.05405405405405406,ortegobirds.com,,15.0,-1,0,-1,com,1,1,0,-1,4,0,-1,-1,1,3.456564762130954,,
http://phukien365.vn/page/page1/accountprofilecra/submitted_en.htm,phishing,66,2,0,0,1,6,1,0,0,0,0,0,0,4,52,0.07547169811320754,phukien365.vn,,13.0,1,1,-1,vn,0,1,0,-1,4,0,-1,-1,1,3.546593564294939,,
http://kashimayunohana.jp/ngcmo8kp,phishing,34,1,0,0,0,3,1,0,0,0,0,0,0,1,28,0.034482758620689655,kashimayunohana.jp,,18.0,1,0,-1,jp,0,1,0,-1,1,0,-1,-1,1,3.5032583347756456,,
http://atwork.cn/t4kavmogc,phishing,26,1,0,0,0,3,1,0,0,0,0,0,0,1,20,0.047619047619047616,atwork.cn,,9.0,1,0,-1,cn,0,1,0,-1,1,0,-1,-1,1,3.169925001442312,4213.0,4383.0
http://e-assistance-freemobile.net/moncompte_identification/mobile-info-recouvrement_facture/e1350a767902b1cdce54029d21089768/3e1c9f4ffdb80a34deb88d17420cc170/myaccount/home.php?customerid=53265&amp;defaults=webhelp?srcid=navigation-now&amp;ion=1&amp;espv=2&amp;ie=utf-8,phishing,270,2,0,6,2,8,1,0,2,0,4,6,0,50,185,0.26881720430107525,e-assistance-freemobile.net,,27.0,1,0,-1,net,0,1,0,-1,6,0,-1,1,1,3.6339740759971573,,
http://www.alsultanah.com/login.jsp.htm?tracelog=notificationavoidphishing2,phishing,75,4,0,0,0,3,1,0,1,0,0,1,0,1,64,0.015384615384615385,alsultanah.com,,14.0,1,0,-1,com,1,1,0,-1,1,1,-1,-1,1,3.3248629576173565,7087.0,7305.0
http://sgmoneycollections.com/ffa/docusignnew/index.php,phishing,55,2,0,0,0,5,1,0,0,0,0,0,0,0,47,0.0,sgmoneycollections.com,,22.0,1,0,-1,com,0,1,0,-1,3,0,-1,-1,1,3.4251185503571397,125.0,365.0
https://www.amazon.com/s?ie=UTF8&keywords=Phyllis%20Diller&rh=i%3Aaps%2Ck%3APhyllis%20Diller&page=1,legitimate,99,2,0,0,0,3,1,0,1,0,3,4,5,9,71,0.125,amazon.com,,10.0,-1,0,-1,com,1,1,0,-1,1,0,-1,-1,1,2.721928094887362,11481.0,11686.0
http://vectagon.co/tmp.ncr/sc.php,phishing,33,3,0,0,0,4,1,0,0,0,0,0,0,0,25,0.0,vectagon.co,,11.0,1,0,-1,co,0,1,0,-1,2,0,-1,-1,1,3.095795255000934,,
http://tekniktesisat.com.tr/highslide/graphics/Gdrive/Gdrive/googledrv/ServiceLogin,phishing,83,2,0,0,0,8,1,0,0,0,0,0,0,0,72,0.0,tekniktesisat.com.tr,,20.0,1,0,-1,com.tr,0,1,1,-1,6,0,-1,-1,1,3.4219280948873627,7772.0,8034.0
http://ipckuwait.com/audio/prbaby/login.jsp.htm,phishing,47,3,0,0,0,5,1,0,0,0,0,0,0,0,38,0.0,ipckuwait.com,,13.0,1,0,-1,com,0,1,1,-1,3,0,-1,-1,1,3.3927474104487847,9316.0,9861.0
http://185.125.4.222/ssh.txt,phishing,28,4,0,0,0,3,1,0,0,0,0,0,0,10,10,0.9090909090909091,185.125.4.222,,13.0,1,1,-1,,0,0,0,1,1,1,-1,-1,1,2.4116022179746714,,
https://www.reviewcentre.com/reviews189170.html,legitimate,47,3,0,0,0,3,1,0,0,0,0,0,0,6,34,0.17142857142857143,reviewcentre.com,,16.0,-1,0,-1,com,1,1,0,-1,1,0,-1,-1,1,3.25,9635.0,10227.0
https://www.fifa.com/classicfootball/clubs/club=1914840/index.html,legitimate,66,3,0,0,0,6,1,0,0,0,0,1,0,7,48,0.14285714285714285,fifa.com,,8.0,-1,0,-1,com,1,1,0,-1,4,0,-1,-1,1,2.75,,
http://jhdgh.bid/search/x1.dat,phishing,30,2,0,0,0,4,1,0,0,0,0,0,0,1,22,0.043478260869565216,jhdgh.bid,,9.0,1,0,-1,bid,0,1,0,-1,2,0,-1,-1,1,2.725480556997868,,
http://www.dmmusic.eu/rss/index.php,phishing,35,3,0,0,0,4,1,0,0,0,0,0,0,0,27,0.0,dmmusic.eu,,10.0,1,0,-1,eu,1,1,0,-1,2,0,-1,-1,1,2.9219280948873623,,
http://coloco.sallyforsenate.org/6nhzjh1hvb\nholotilicga.medproshealthcare.com/bannerbox/frame.html,phishing,99,5,0,0,0,5,1,1,0,0,0,0,0,2,85,0.023255813953488372,coloco.sallyforsenate.org,,25.0,1,0,-1,org,1,1,0,-1,3,1,-1,-1,1,3.5092750707107134,,
https://www.parentmap.com/article/camp-fire-usa-today,legitimate,53,2,0,3,0,4,1,0,0,0,0,0,0,0,43,0.0,parentmap.com,,13.0,-1,0,-1,com,1,1,0,-1,2,0,-1,-1,1,3.238901256602631,8786.0,10226.0
