url,type
http://antalya.ru/links/,phishing
https://www.youtube.com/watch?v=1cJPAckFotc,legitimate
https://www.rottentomatoes.com/m/man_who_wasnt_there/,legitimate
https://www.montecarloss.com/Toy.html,legitimate
http://23.227.196.217/,phishing
http://sandoutalent.com/docss/up/,phishing
http://alanstrack.com/system/data/a0e390d7d5c2131dabb7a8b1dbe42520/,phishing
https://www.youtube.com/watch?v=baeT3g7udho,legitimate
https://securityceckpoins.000webhostapp.com/bayar/set.html,phishing
https://www.mag.damnserver.com/topless/Juliet-Anderson.html,legitimate
https://www.sports.yahoo.com/nhl/teams/san/stats,legitimate
https://www.andysautosport.com/mercury/1962_1963_meteor/,legitimate
http://www.indodefense.com/wp-content/dropbox/,phishing
http://privatteodontologia.com.br/sender/Goldencat/Goldencat/auth/view/document/,phishing
http://yepgppcoouhbfyu.org/php/upload.php,phishing
https://www.etrade.com,legitimate
https://rbx-free-robux.000webhostapp.com/,phishing
http://pingakshotechnologies.com/vicaaralife/london/hts-cache/microsoftupdate.html,phishing
https://www.harryhills.com/,legitimate
https://www.tourism.bestmontreal.com/,legitimate
https://www.i-divorceattorney.com/,legitimate
https://www.sbnation.com/nfl/2011/9/6/2407538/minnesota-vikings-2011-season-preview-donovan-mcnabb,legitimate
http://94.102.63.238/apple2/,phishing
http://85.93.177.135:443,phishing
https://www.summer-auto.bestgetaways.ca/en_destination-salaberry-de-valleyfield/day_trips,legitimate
https://sites.google.com/site/confirmapps001/,phishing
http://ascendpilotproducts.com/wp-includes/pomo/spo/Access.html,phishing
http://www.explode-vt.de/media/system/js/docs/44d5fc589e3bebf082b7dda946a5f5b4/,phishing
http://mixiepix.com/.cache/gatorx.php,phishing
https://www.sharetv.org/movies/talk_to_me_2007,legitimate
https://www.ortegobirds.com/articles/banding/the-texas-bird-banding-team-activities-for-2005/,legitimate
http://phukien365.vn/page/page1/accountprofilecra/submitted_en.htm,phishing
http://kashimayunohana.jp/ngcmo8kp,phishing
http://atwork.cn/t4kavmogc,phishing
http://e-assistance-freemobile.net/moncompte_identification/mobile-info-recouvrement_facture/e1350a767902b1cdce54029d21089768/3e1c9f4ffdb80a34deb88d17420cc170/myaccount/home.php?customerid=53265&amp;defaults=webhelp?srcid=navigation-now&amp;ion=1&amp;espv=2&amp;ie=utf-8,phishing
http://www.alsultanah.com/login.jsp.htm?tracelog=notificationavoidphishing2,phishing
http://sgmoneycollections.com/ffa/docusignnew/index.php,phishing
https://www.amazon.com/s?ie=UTF8&keywords=Phyllis%20Diller&rh=i%3Aaps%2Ck%3APhyllis%20Diller&page=1,legitimate
http://vectagon.co/tmp.ncr/sc.php,phishing
http://tekniktesisat.com.tr/highslide/graphics/Gdrive/Gdrive/googledrv/ServiceLogin,phishing
http://ipckuwait.com/audio/prbaby/login.jsp.htm,phishing
http://185.125.4.222/ssh.txt,phishing
https://www.reviewcentre.com/reviews189170.html,legitimate
https://www.fifa.com/classicfootball/clubs/club=1914840/index.html,legitimate
http://jhdgh.bid/search/x1.dat,phishing
http://www.dmmusic.eu/rss/index.php,phishing
http://coloco.sallyforsenate.org/6nhzjh1hvb\nholotilicga.medproshealthcare.com/bannerbox/frame.html,phishing
https://www.parentmap.com/article/camp-fire-usa-today,legitimate
http://cursilhocuritiba.com.br/libraries/vendor/DHLAUTO/dhl.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4#n=1252899642&amp;fid=1&amp;fav=1,phishing
https://www.audioenglish.net/dictionary/united_states_army_rangers.htm,legitimate
http://greenvillage.edu.rs/wq-admin/dropbox/proposal,phishing
http://hollywoodjesus.com/8g74crec,phishing
http://suryaee.com/googledoc/?cba51fb77629deaf1b1810d9d717d3ab854b3210,phishing
http://nl-bnk.com/amsterdamtradebank/ibank/,phishing
https://www.yelp.com/biz/california-coastal-trail-san-francisco,legitimate
http://184.173.28.174/adobe_flashplayer_7,phishing
https://www.sites.google.com/site/fivegateways/alphabetical-index-s/salkeld,legitimate
http://ankarasoveyapi.com/Cesc/bookmark/index.php?.randInboxLight.aspx?n74256418&amp;=&amp;email=abuse@laugier.com%20&amp;fav.1=&amp;fid=1&amp;fid=4&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;randInboxLightaspxn.1774256418&amp;rand.13InboxLi,phishing
http://boschenmasonry.com/wp-includes/aa.php?p=99x7319q2d817l,phishing
http://construction.johawaki.com.my/modules/sd/,phishing
https://www.en.wikipedia.org/wiki/Brandon_Kolb,legitimate
http://suruburi-autoforante.ro/downloader_misc/template/install/MOBILE/mma/,phishing
http://13453765871837679316.googlegroups.com/attach/5ed5d019a6363180/docfile.htm?part=0.1&amp;view=1&amp;vt=ANaJVrHItotaI5mr7purE76m06Ka_W8XfrI31AXsZDPxwDwyuw2AbaRmQOuSthSceSV6vagCUNCoaNPqAnsmVHs0yOXsmL-mHQwtml7IDSokHZyivX-z27U,phishing
http://wphone3c.com/6ap7em,phishing
https://www.consumerguideauto.howstuffworks.com/1995-to-2005-chevrolet-cavalier-6.htm,legitimate
http://www.easvarahospital.com/app/webroot/files/dhl/ecc06aeacdcc42022...,phishing
https://www.192.com/atoz/people/jackson/bernice/,legitimate
https://www.wilsonsalmanac.com/book/sep3.html,legitimate
http://j4gww2.myckck.in/,phishing
http://bonus.status-eth.top/,phishing
https://www.findarticles.com/p/articles/mi_m2838/is_4_37/ai_n6129670/,legitimate
https://www.sportsillustrated.cnn.com/baseball/mlb/players/5700/index.html,legitimate
https://www.rcanumberone.com/,legitimate
http://aycilinsaat.com/7g6bubt7v?xFPABXf=VIkeQor,phishing
http://updconfs.com/78E8on/h1b.pac,phishing
http://etoc.biz/g766d4ft,phishing
http://updat120.clanteam.com,phishing
https://www.moesrealm.com/mp3-music/CDs/jerry-cantrell-degradation-trip.php,legitimate
https://www.scottshaw.info/,legitimate
https://www.telegraph.co.uk/culture/music/rockandpopfeatures/8794589/Adam-Cohen-his-fathers-son.html,legitimate
http://contentmagnetfortunes.com/banners/set2/MjVDUR.php,phishing
https://www.genforum.genealogy.com/foster/all.html,legitimate
http://albel.intnet.mu/File/file_doc.php,phishing
http://beauty-plus.co.uk/tmp/https:/atendimento/,phishing
http://generalgrass.com.br/Config/6cbfeebff87904ff1a2b19dfd0867a28/Up-dating.php,phishing
http://www.hyundaitanphu.vn/wp-content/themes/bazar/theme/templates/portfolios/simply/css/submit/048362caed2fc782f59f7d72e18fca92,phishing
https://www.wn.com/Memphis_Tigers_basketball,legitimate
https://www.availableimages.com/celebs/c/christy-chung/pictures.html,legitimate
https://www.en.wikipedia.org/wiki/Guy_Street,legitimate
http://w3hostingserver.com/8g74crec?alouorwtfnn=ypvhgojxk,phishing
https://www.msn.foxsports.com/nfl/player/charles-johnson/469395,legitimate
http://crisvera.com/~highbrai/gpoconstruye.com/cgi-bin/W.html,phishing
http://mnfelfmffalmlabf.net /,phishing
https://www.adultdvdempire.com/24828/juliet-anderson-pornstars.html,legitimate
http://bjcurio.com/js/index.htm?ref=http://zkszuoqus.battle.net/d3/en/index,phishing
http://anemosananeosis.gr/js/ScreenDrop/,phishing
https://modsquadgames.com/minecraft/wp-includes/x4d/121auto1secureRE/121auto1secureR/index.php?email=abuse@tcb-bank.com.tw,phishing
http://offworldventures.com/eselenology/language/checkout_s_ccess1.html,phishing
http://howsenet.co.uk/blog/profile/,phishing
https://www.lib.utexas.edu/maps/mcgraw_electric.html,legitimate
http://narcosiris.com/Nsafry/index.html,phishing
https://www.icc.blackboard.com/webapps/portal/frameset.jsp,legitimate
https://www.archive.org/stream/members1894demo/members1894demo_djvu.txt,legitimate
http://pilula.co.il/images/maintenance/maintenance/NuevaVersion/index.php,phishing
https://www.indiewire.com/article/a_title_that_lies_its_kind_of_a_funny_story,legitimate
https://www.amazon.co.uk/Worst-Witch-Jill-Murphy/dp/0141319623,legitimate
http://iamintellectuallypromiscuous.com/subtotest/test/asbpage/index.html,phishing
http://lpmxp1038.com,phishing
http://webmail.mhcable.com/secure/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;_Acess_Tooken=10782ecaa61c31f2eec1962e5579444f10782ecaa61c31f2eec1962e5579444f,phishing
https://www.ehow.com/list_6079615_monuments-japan.html,legitimate
http://abbysstackingband.usmediadirect.org/military.wbxml?against=iGbzyfj&amp;achieve=ID04tHZc&amp;improve=PObC&amp;greater=aIFh2cYZ&amp;train=7I-&amp;put=b3U0qT&amp;test=i9dax-6y&amp;actually=Qqk&amp;way=u,phishing
https://www.touchvision.co.za/2d-animation/toon-boom.htm,legitimate
https://www.discogs.com/groups/topic/214605,legitimate
http://globalgraf.es/f8vrn6m,phishing
http://ibjja.com/blog/wp-content/plugins/scribe/lib/history/views/meta-box/c.php?,phishing
http://uscxsssu.pw/php/upload.php,phishing
